Segundo,Bytes_Por_Segundo
40.257408474,1444
40.257463278,1444
40.257539652,1444
40.257609398,1444
40.257672491,1444
40.257723292,1444
40.257803825,1444
40.257859938,1444
40.257935658,1444
40.258054027,1444
40.25806677,1444
40.258128341,1444
40.258200533,1444
40.25828353,1444
40.25833169,1444
40.258388995,1444
40.258463518,1444
40.258520956,1444
40.258594624,1444
40.258654008,1444
40.25872673,1444
40.258793859,1444
40.258867484,1444
40.258924571,1444
40.258999833,1444
40.2590848,1444
40.259123498,1444
40.259205786,1444
40.259270409,1444
40.259363994,1444
40.259390563,1444
40.25944722,1444
40.259517277,1444
40.259575074,1444
40.259650554,1444
40.259712039,1444
40.259780537,1444
40.259839552,1444
40.259912839,1444
40.260022418,1444
40.260045825,1444
40.260126936,1444
40.26017888,1444
40.260236756,1444
40.260309584,1444
40.260365752,1444
40.260444011,1444
40.260507933,1444
40.260571737,1444
40.260627239,1444
40.2607037,1444
40.260758067,1444
40.260833605,1444
40.260893727,1444
40.260966525,1444
40.261022602,1444
40.261098639,1444
40.26116264,1444
40.261233179,1444
40.261389145,1444
40.261399909,1444
40.261474156,1444
40.2615005,1444
40.261613439,1444
40.261648652,1444
40.261702388,1444
40.261756658,1444
40.261810889,1444
40.261888494,1444
40.261946873,1444
40.262019561,1444
40.262072426,1444
40.262151424,1444
40.262205652,1444
40.262283712,1444
40.262343436,1444
40.262416634,1444
40.262468784,1444
40.262546422,1444
40.26261446,1444
40.26267859,1444
40.262738927,1444
40.262810601,1444
40.262883376,1444
40.262944658,1444
40.263002568,1444
40.263077815,1444
40.263137677,1444
40.263207607,1444
40.263259753,1444
40.263339827,1444
40.263401043,1444
40.263469593,1444
40.263522998,1444
40.263619936,1444
40.263673472,1444
40.263732537,1444
40.264154467,1444
40.264294677,1444
40.26430747,1444
40.264313787,1444
40.26431966,1444
40.264356918,1444
40.264394874,1444
40.264405744,1444
40.264413478,1444
40.264486787,1444
40.26454474,1444
40.264553174,1444
40.26461434,1444
40.264652627,1444
40.264714405,1444
40.264795503,1444
40.264881039,1444
40.264925439,1444
40.264985278,1444
40.265053645,1444
40.265109927,1444
40.265182535,1444
40.265239089,1444
40.265314615,1444
40.265367148,1444
40.26544582,1444
40.265502993,1444
40.2655775,1444
40.265633844,1444
40.265709523,1444
40.26576277,1444
40.265841544,1444
40.26590002,1444
40.265972511,1444
40.266031658,1444
40.266104761,1444
40.266158594,1444
40.266236559,1444
40.266293729,1444
40.266369623,1444
40.266428207,1444
40.266500519,1444
40.266554176,1444
40.266631783,1444
40.26668911,1444
40.266763682,1444
40.266823126,1444
40.266904703,1444
40.266978008,1444
40.26702757,1444
40.267087999,1444
40.267158641,1444
40.267212644,1444
40.267290625,1444
40.267347566,1444
40.267422533,1444
40.26748072,1444
40.267555478,1444
40.267610387,1444
40.26768572,1444
40.267742604,1444
40.267817786,1444
40.267874708,1444
40.267968369,1444
40.268058958,1444
40.268117897,1444
40.268183786,1444
40.268215902,1444
40.268277349,1444
40.268346485,1444
40.268403141,1444
40.268476644,1444
40.268535398,1444
40.268609559,1444
40.26866824,1444
40.268741798,1444
40.268804624,1444
40.268873719,1444
40.268933697,1444
40.269004434,1444
40.269063539,1444
40.269154837,1444
40.269211009,1444
40.269268675,1444
40.269326455,1444
40.269398596,1444
40.269455144,1444
40.269530637,1444
40.269585654,1444
40.269663642,1444
40.269722199,1444
40.26979564,1444
