Source IP,Destination IP,Source Port,Destination Port,Protocol,Length,Time Since Reference
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.439606811
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.440587531
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.440708701
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.441711300
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.441833743
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.442831386
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.442974232
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.443918457
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.443952766
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.444076069
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.444112111
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.445099353
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.445207609
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.446196449
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.446318150
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.447316942
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.447436692
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.448403443
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.448442814
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.448576957
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.448621397
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.449577197
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.449719567
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.450680199
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.450815526
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.451800489
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.451871405
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.452888585
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.452926888
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.453010172
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.453046395
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.454042267
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.454133037
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.455184661
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.455315570
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.456286866
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.456407787
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.457371629
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.457408510
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.457490944
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.457531480
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.458523073
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.458631684
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.459647687
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.459767711
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.460770775
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.460897890
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.461857633
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.461963938
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.462241714
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.462335882
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.463034798
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.463166150
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.464143385
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.464279565
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.465258426
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.465362233
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.466354479
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.466409405
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.466445232
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.466500608
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.467497423
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.467615756
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.468627076
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.468746762
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.469745400
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.469859516
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.470825525
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.470868093
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.470931619
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.470975439
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.471980874
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.472135270
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.473104434
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.473202449
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.474245137
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.474352217
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.475338352
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.475343528
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.475449399
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.475491461
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.476464475
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.476533470
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.477591715
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.477666504
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.478707609
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.478803693
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.479795317
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.479846085
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.479848608
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.479890994
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.480947663
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.481083976
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.482072523
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.482207440
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.483191850
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.483339697
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.484278010
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.484317170
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.484395106
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.484434018
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.485433489
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.485500964
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.486554491
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.486673524
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.487675591
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.487798173
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.488761674
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.488798450
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.488865152
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.488902628
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.489924591
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.490046879
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.491048146
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.491145552
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.492163666
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.492259010
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.493267302
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.493307682
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.493368327
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.493415278
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.494399495
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.494533599
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.495523732
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.495589363
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.496647059
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.496765719
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.497753733
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.497767873
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.497875646
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.497921343
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.498892690
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.498970611
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.500010215
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.500101517
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.501152822
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.501277922
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.502220442
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.502253509
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.502323535
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.502372650
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.503367952
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.503470635
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.504514777
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.504667355
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.505613577
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.505750829
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.506721487
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.506756682
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.506830742
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.506879084
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.507864735
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.507989552
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.508982931
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.509095719
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.510100704
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.510186582
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.511206902
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.511225923
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.511281473
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.511318923
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.512337660
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.512459789
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.513462281
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.513588839
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.514580458
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.514638427
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.515668375
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.515722087
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.515739463
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.515774534
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.516842522
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.516962876
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.517949556
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.518082897
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.519065689
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.519184646
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.520151314
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.520189041
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.520254353
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.520299605
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.521307267
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.521430014
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.522429422
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.522526591
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.523569678
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.523645019
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.524637254
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.524671745
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.524758962
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.524801686
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.525790172
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.525910900
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.526936394
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.527038513
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.528035667
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.528142136
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.529119275
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.529156302
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.529244968
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.529285878
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.530272062
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.530378319
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.531417018
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.531536213
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.532520669
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.532635398
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.533603434
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.533639448
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.533731173
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.533770976
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.534757071
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.534853761
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.535880417
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.535989518
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.537024588
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.537150148
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.538088585
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.538216484
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.538479577
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.538582189
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.539267712
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.539421647
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.540367664
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.540500144
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.541487493
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.541616061
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.542573690
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.542628488
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.542675742
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.542721196
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.543725815
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.543778321
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.544851507
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.544981422
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.545971298
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.546115652
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.547059705
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.547091944
10.0.1.1,10.0.4.4,50000,50000,17,1444,32.547199464
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.547244806
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.548212278
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.548347239
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.549343204
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.549464037
10.0.2.2,10.0.4.4,50000,50000,17,1444,32.550477835
