Segundos_em_0.0001,Bytes_Por_0.0001_Segundo,Quantidade_pacotes
10.3262,1444,1
10.3263,1444,1
10.3274,2888,2
10.3285,2888,2
10.3296,1444,1
10.3297,1444,1
10.3307,1444,1
10.3308,1444,1
10.3319,2888,2
10.333,2888,2
10.3341,1444,1
10.3342,1444,1
10.3352,1444,1
10.3353,1444,1
10.3363,1444,1
10.3364,1444,1
10.3375,2888,2
10.3386,1444,1
10.3387,1444,1
10.3397,1444,1
10.3398,1444,1
10.3408,1444,1
10.3409,1444,1
10.3419,1444,1
10.342,1444,1
10.3431,2888,2
10.3442,1444,1
10.3443,1444,1
10.3453,1444,1
10.3454,1444,1
10.3464,1444,1
10.3465,1444,1
10.3475,1444,1
10.3476,1444,1
10.3487,2888,2
10.3498,1444,1
10.3499,1444,1
10.3509,1444,1
10.351,1444,1
10.3521,1444,1
10.3522,1444,1
10.3532,1444,1
10.3533,1444,1
10.3547,1444,1
10.3548,1444,1
10.3554,1444,1
10.3555,1444,1
10.3565,1444,1
10.3566,1444,1
10.3577,1444,1
10.3578,1444,1
10.3588,1444,1
10.3589,1444,1
10.3599,1444,1
10.36,1444,1
10.361,1444,1
10.3611,1444,1
10.3621,1444,1
10.3623,1444,1
10.3633,1444,1
10.3634,1444,1
10.3644,1444,1
10.3645,1444,1
10.3655,1444,1
10.3656,1444,1
10.3666,1444,1
10.3667,1444,1
10.3677,1444,1
10.3678,1444,1
10.3688,1444,1
10.3689,1444,1
10.37,1444,1
10.3701,1444,1
10.3711,1444,1
10.3712,1444,1
10.3722,1444,1
10.3723,1444,1
10.3733,1444,1
10.3734,1444,1
10.3745,1444,1
10.3746,1444,1
10.3756,1444,1
10.3757,1444,1
10.3767,1444,1
10.3768,1444,1
10.3778,1444,1
10.3779,1444,1
10.379,1444,1
10.3791,1444,1
10.3801,1444,1
10.3802,1444,1
10.3812,1444,1
10.3813,1444,1
10.3823,1444,1
10.3824,1444,1
10.3834,1444,1
10.3835,1444,1
10.3846,1444,1
10.3847,1444,1
10.3857,1444,1
10.3858,1444,1
10.3868,2888,2
10.3879,1444,1
10.388,1444,1
10.3891,1444,1
10.3892,1444,1
10.3902,1444,1
10.3903,1444,1
10.3913,1444,1
10.3914,1444,1
10.3924,1444,1
10.3925,1444,1
10.3935,1444,1
10.3936,1444,1
10.3947,1444,1
10.3948,1444,1
10.3958,1444,1
10.3959,1444,1
10.3969,1444,1
10.397,1444,1
10.398,1444,1
10.3981,1444,1
10.3991,1444,1
10.3992,1444,1
10.4002,1444,1
10.4003,1444,1
10.4014,1444,1
10.4015,1444,1
10.4025,1444,1
10.4026,1444,1
10.4036,1444,1
10.4037,1444,1
10.4047,1444,1
10.4048,1444,1
10.4059,1444,1
10.406,1444,1
10.407,1444,1
10.4071,1444,1
10.4081,1444,1
10.4082,1444,1
10.4092,1444,1
10.4093,1444,1
10.4103,1444,1
10.4104,1444,1
10.4115,1444,1
10.4116,1444,1
10.4126,1444,1
10.4127,1444,1
10.4137,1444,1
10.4138,1444,1
10.4148,1444,1
10.4149,1444,1
10.416,1444,1
10.4161,1444,1
10.4171,2888,2
10.4182,1444,1
10.4183,1444,1
10.4193,1444,1
10.4194,1444,1
10.4205,1444,1
10.4206,1444,1
10.4216,1444,1
10.4217,1444,1
10.4227,1444,1
10.4228,1444,1
10.4238,1444,1
10.4239,1444,1
10.4249,1444,1
10.425,1444,1
10.426,1444,1
10.4262,1444,1
10.4271,1444,1
10.4272,1444,1
10.4283,1444,1
10.4284,1444,1
10.4294,1444,1
10.4295,1444,1
10.4309,1444,1
10.431,1444,1
10.4316,1444,1
10.4317,1444,1
10.4327,1444,1
10.4328,1444,1
10.4339,1444,1
10.434,1444,1
10.435,1444,1
10.4351,1444,1
10.4361,1444,1
10.4362,1444,1
10.4373,2888,2
10.4384,1444,1
10.4385,1444,1
10.4395,1444,1
10.4396,1444,1
10.4406,1444,1
10.4408,1444,1
10.4417,1444,1
10.4418,1444,1
10.4429,1444,1
10.443,1444,1
10.444,1444,1
10.4441,1444,1
10.4451,1444,1
10.4452,1444,1
10.4462,1444,1
10.4463,1444,1
10.4473,1444,1
10.4474,1444,1
10.4484,1444,1
10.4485,1444,1
10.4496,1444,1
10.4497,1444,1
10.4507,1444,1
10.4508,1444,1
10.4518,1444,1
10.4519,1444,1
10.4529,1444,1
10.4531,1444,1
10.454,1444,1
10.4542,1444,1
10.4552,1444,1
10.4553,1444,1
10.4563,1444,1
10.4564,1444,1
10.4574,1444,1
10.4575,1444,1
10.4585,1444,1
10.4586,1444,1
10.4597,2888,2
10.4608,1444,1
10.4609,1444,1
10.4619,1444,1
10.462,1444,1
10.463,1444,1
10.4631,1444,1
10.4641,1444,1
10.4642,1444,1
10.4653,1444,1
10.4654,1444,1
10.4664,1444,1
10.4665,1444,1
10.4675,1444,1
10.4676,1444,1
10.4686,1444,1
10.4687,1444,1
10.4698,1444,1
10.4699,1444,1
10.4709,1444,1
10.471,1444,1
10.472,1444,1
10.4721,1444,1
10.4731,1444,1
10.4732,1444,1
10.4743,1444,1
10.4744,1444,1
10.4754,1444,1
10.4755,1444,1
10.4765,1444,1
10.4766,1444,1
10.4776,1444,1
10.4777,1444,1
10.4787,1444,1
10.4788,1444,1
10.4799,1444,1
10.48,1444,1
10.481,2888,2
10.4821,1444,1
10.4822,1444,1
10.4832,1444,1
10.4834,1444,1
10.4843,1444,1
10.4845,1444,1
10.4854,1444,1
10.4855,1444,1
10.4866,1444,1
10.4867,1444,1
10.4877,1444,1
10.4878,1444,1
10.4888,1444,1
10.4889,1444,1
10.4899,1444,1
10.49,1444,1
10.4911,1444,1
10.4912,1444,1
10.4922,1444,1
10.4923,1444,1
10.4933,1444,1
10.4934,1444,1
10.4944,1444,1
10.4945,1444,1
10.4955,1444,1
10.4956,1444,1
10.4967,1444,1
10.4968,1444,1
10.4978,1444,1
10.4979,1444,1
10.4989,2888,2
10.5,1444,1
10.5001,1444,1
10.5012,2888,2
10.5023,1444,1
10.5024,1444,1
10.5034,1444,1
10.5035,1444,1
10.5045,1444,1
10.5046,1444,1
10.5056,1444,1
10.5057,1444,1
10.5073,1444,1
10.5074,1444,1
10.5079,1444,1
10.508,1444,1
10.509,1444,1
10.5091,1444,1
10.5101,1444,1
10.5102,1444,1
10.5112,1444,1
10.5113,1444,1
10.5123,1444,1
10.5124,1444,1
10.5135,1444,1
10.5136,1444,1
10.5146,1444,1
10.5147,1444,1
10.5157,1444,1
10.5158,1444,1
10.5168,1444,1
10.5169,1444,1
10.518,1444,1
10.5181,1444,1
10.5191,1444,1
10.5192,1444,1
10.5202,1444,1
10.5204,1444,1
10.5213,1444,1
10.5214,1444,1
10.5225,1444,1
10.5226,1444,1
10.5236,1444,1
10.5237,1444,1
10.5247,1444,1
10.5248,1444,1
10.5258,1444,1
10.5259,1444,1
10.5269,1444,1
10.527,1444,1
10.5281,1444,1
10.5282,1444,1
10.5292,1444,1
10.5293,1444,1
10.5303,1444,1
10.5304,1444,1
10.5314,1444,1
10.5315,1444,1
10.5325,1444,1
10.5327,1444,1
10.5337,1444,1
10.5338,1444,1
10.5348,1444,1
10.5349,1444,1
10.5359,1444,1
10.536,1444,1
10.5371,1444,1
10.5372,1444,1
10.5382,2888,2
10.5393,2888,2
10.5404,1444,1
10.5405,1444,1
10.5415,1444,1
10.5416,1444,1
10.5427,1444,1
10.5428,1444,1
10.5437,1444,1
10.5439,1444,1
10.5449,1444,1
10.545,1444,1
10.546,1444,1
10.5461,1444,1
10.5471,1444,1
10.5473,1444,1
10.5482,1444,1
10.5483,1444,1
10.5493,1444,1
10.5495,1444,1
10.5505,1444,1
10.5506,1444,1
10.5516,1444,1
10.5518,1444,1
10.5527,1444,1
10.5528,1444,1
10.5538,1444,1
10.554,1444,1
10.555,1444,1
10.5551,1444,1
10.5561,1444,1
10.5562,1444,1
10.5572,1444,1
10.5573,1444,1
10.5583,1444,1
10.5584,1444,1
10.5594,1444,1
10.5596,1444,1
10.5606,1444,1
10.5607,1444,1
10.5617,1444,1
10.5618,1444,1
10.5628,1444,1
10.5629,1444,1
10.5639,1444,1
10.5641,1444,1
10.5651,1444,1
10.5652,1444,1
10.5661,1444,1
10.5663,1444,1
10.5673,1444,1
10.5674,1444,1
10.5684,1444,1
10.5685,1444,1
10.5695,1444,1
10.5696,1444,1
10.5706,1444,1
10.5707,1444,1
10.5718,1444,1
10.5719,1444,1
10.5729,1444,1
10.573,1444,1
10.574,1444,1
10.5741,1444,1
10.5751,1444,1
10.5753,1444,1
10.5763,2888,2
10.5774,1444,1
10.5775,1444,1
10.5785,1444,1
10.5786,1444,1
10.5796,1444,1
10.5798,1444,1
10.5807,1444,1
10.5808,1444,1
10.5819,1444,1
10.582,1444,1
10.5834,1444,1
10.5835,1444,1
10.5841,1444,1
10.5842,1444,1
10.5852,1444,1
10.5854,1444,1
10.5863,1444,1
10.5864,1444,1
10.5875,1444,1
10.5876,1444,1
10.5886,1444,1
10.5887,1444,1
10.5897,1444,1
10.5898,1444,1
10.5908,1444,1
10.5909,1444,1
10.592,2888,2
10.5931,1444,1
10.5932,1444,1
10.5942,1444,1
10.5943,1444,1
10.5953,1444,1
10.5955,1444,1
10.5965,1444,1
10.5966,1444,1
10.5975,1444,1
10.5976,1444,1
10.5987,1444,1
10.5988,1444,1
10.5998,1444,1
10.5999,1444,1
10.6009,1444,1
10.6011,1444,1
10.602,1444,1
10.6021,1444,1
10.6031,1444,1
10.6033,1444,1
10.6043,1444,1
10.6044,1444,1
10.6054,1444,1
10.6055,1444,1
10.6065,1444,1
10.6066,1444,1
10.6077,1444,1
10.6078,1444,1
10.6088,1444,1
10.6089,1444,1
10.6099,1444,1
10.61,1444,1
10.611,1444,1
10.6111,1444,1
10.6121,1444,1
10.6122,1444,1
10.6133,1444,1
10.6134,1444,1
10.6144,1444,1
10.6145,1444,1
10.6155,1444,1
10.6156,1444,1
10.6166,1444,1
10.6167,1444,1
10.6177,1444,1
10.6178,1444,1
10.6188,1444,1
10.619,1444,1
10.62,1444,1
10.6201,1444,1
10.6211,1444,1
10.6212,1444,1
10.6222,1444,1
10.6223,1444,1
10.6233,1444,1
10.6234,1444,1
10.6244,1444,1
10.6246,1444,1
10.6256,1444,1
10.6257,1444,1
10.6267,1444,1
10.6268,1444,1
10.6278,1444,1
10.6279,1444,1
10.6289,1444,1
10.6291,1444,1
10.6301,1444,1
10.6302,1444,1
10.6312,1444,1
10.6313,1444,1
10.6323,1444,1
10.6324,1444,1
10.6334,1444,1
10.6335,1444,1
10.6345,1444,1
10.6346,1444,1
10.6357,1444,1
10.6358,1444,1
10.6368,1444,1
10.6369,1444,1
10.6379,1444,1
10.638,1444,1
10.639,1444,1
10.6392,1444,1
10.6401,1444,1
10.6402,1444,1
10.6413,1444,1
10.6414,1444,1
10.6424,1444,1
10.6425,1444,1
10.6435,1444,1
10.6436,1444,1
10.6446,1444,1
10.6447,1444,1
10.6458,1444,1
10.6459,1444,1
10.6469,1444,1
10.647,1444,1
10.648,1444,1
10.6482,1444,1
10.6491,1444,1
10.6493,1444,1
10.6502,1444,1
10.6504,1444,1
10.6513,1444,1
10.6514,1444,1
10.6525,1444,1
10.6526,1444,1
10.6536,1444,1
10.6537,1444,1
10.6547,1444,1
10.6548,1444,1
10.6558,1444,1
10.6559,1444,1
10.657,1444,1
10.6571,1444,1
10.6581,1444,1
10.6582,1444,1
